country,happiness_score_2015,happiness_rank_2015,happiness_score_2016,happiness_rank_2016,happiness_score_2017,happiness_rank_2017,happiness_score_2018,happiness_rank_2018,happiness_score_2019,happiness_rank_2019
Switzerland,7.587,1,7.509,2,7.494,4,7.487,5,7.480,6
Iceland,7.561,2,7.501,3,7.504,3,7.495,4,7.494,4
Denmark,7.527,3,7.526,1,7.522,2,7.555,3,7.600,2
Norway,7.522,4,7.498,4,7.537,1,7.594,2,7.554,3
Canada,7.427,5,7.404,6,7.316,7,7.328,7,7.278,9
Finland,7.406,6,7.413,5,7.469,5,7.632,1,7.769,1
Netherlands,7.378,7,7.339,7,7.377,6,7.441,6,7.488,5
Sweden,7.364,8,7.291,10,7.284,9,7.314,9,7.343,7
New Zealand,7.286,9,7.334,8,7.314,8,7.324,8,7.307,8
Australia,7.284,10,7.313,9,7.284,10,7.272,10,7.228,11
Israel,7.278,11,7.267,11,7.213,11,6.814,19,7.139,13
Costa Rica,7.226,12,7.087,14,7.079,12,7.072,13,7.167,12
Austria,7.200,13,7.119,12,7.006,13,7.139,12,7.246,10
Mexico,7.187,14,6.778,21,6.578,25,6.488,24,6.595,23
United States,7.119,15,7.104,13,6.993,14,6.886,18,6.892,19
Brazil,6.983,16,6.952,17,6.635,22,6.419,28,6.300,32
Luxembourg,6.946,17,6.871,20,6.863,18,6.910,17,7.090,14
Ireland,6.940,18,6.907,19,6.977,15,6.977,14,7.021,16
Belgium,6.937,19,6.929,18,6.891,17,6.927,16,6.923,18
United Arab Emirates,6.901,20,6.573,28,6.648,21,6.774,20,6.825,21
United Kingdom,6.867,21,6.725,23,6.714,19,7.190,11,7.054,15
Oman,6.853,22,,,,,,,,
Venezuela,6.810,23,6.084,44,5.250,82,4.806,102,4.707,108
Singapore,6.798,24,6.739,22,6.572,26,6.343,34,6.262,34
Panama,6.786,25,6.701,25,6.452,30,6.430,27,6.321,31
Germany,6.750,26,6.994,16,6.951,16,6.965,15,6.985,17
Chile,6.670,27,6.705,24,6.652,20,6.476,25,6.444,26
Qatar,6.611,28,6.375,36,6.375,35,6.374,32,6.374,29
France,6.575,29,6.478,32,6.442,31,6.489,23,6.592,24
Argentina,6.574,30,6.650,26,6.599,24,6.388,29,6.086,47
Czech Republic,6.505,31,6.596,27,6.609,23,6.711,21,6.852,20
Uruguay,6.485,32,6.545,29,6.454,28,6.379,31,6.293,33
Colombia,6.477,33,6.481,31,6.357,36,6.260,37,6.125,43
Thailand,6.455,34,6.474,33,6.424,32,6.072,46,6.008,52
Saudi Arabia,6.411,35,6.379,34,6.344,37,6.371,33,6.375,28
Spain,6.329,36,6.361,37,6.403,34,6.310,36,6.354,30
Malta,6.302,37,6.488,30,6.527,27,6.627,22,6.726,22
Taiwan,6.298,38,6.379,34,,,6.441,26,6.446,25
Kuwait,6.295,39,6.239,41,6.105,39,6.083,45,6.021,51
Suriname,6.269,40,6.269,40,,,,,,
Trinidad and Tobago,6.168,41,6.168,43,6.168,38,,,,
El Salvador,6.130,42,6.068,46,6.003,45,6.167,40,6.253,35
Guatemala,6.123,43,6.324,39,6.454,29,6.382,30,6.436,27
Uzbekistan,6.003,44,5.987,49,5.971,47,6.096,44,6.174,41
Slovakia,5.995,45,6.078,45,6.098,40,6.173,39,6.198,38
Japan,5.987,46,5.921,53,5.920,51,5.915,54,5.886,58
South Korea,5.984,47,5.835,57,5.838,55,5.875,57,5.895,54
Ecuador,5.975,48,5.976,51,6.008,44,5.973,48,6.028,50
Bahrain,5.960,49,6.218,42,6.087,41,6.105,43,6.199,37
Italy,5.948,50,5.977,50,5.964,48,6.000,47,6.223,36
Bolivia,5.890,51,5.822,59,5.823,58,5.752,62,5.779,61
Moldova,5.889,52,5.897,55,5.838,56,5.640,67,5.529,71
Paraguay,5.878,53,5.538,70,5.493,70,5.681,64,5.743,63
Kazakhstan,5.855,54,5.919,54,5.819,60,5.790,60,5.809,60
Slovenia,5.848,55,5.768,63,5.758,62,5.948,51,6.118,44
Lithuania,5.833,56,5.813,60,5.902,52,5.952,50,6.149,42
Nicaragua,5.828,57,5.992,48,6.071,43,6.141,41,6.105,45
Peru,5.824,58,5.743,64,5.715,63,5.663,65,5.697,65
Belarus,5.813,59,5.802,61,5.569,67,5.483,73,5.323,81
Poland,5.791,60,5.835,57,5.973,46,6.123,42,6.182,40
Malaysia,5.770,61,6.005,47,6.084,42,6.322,35,5.339,80
Croatia,5.759,62,5.488,74,5.293,77,5.321,82,5.432,75
Libya,5.754,63,5.615,67,5.525,68,5.566,70,5.525,72
Russia,5.716,64,5.856,56,5.963,49,5.810,59,5.648,68
Jamaica,5.709,65,5.510,73,5.311,76,5.890,56,5.890,56
North Cyprus,5.695,66,5.771,62,5.810,61,,,,
Cyprus,5.689,67,5.546,69,5.621,65,5.762,61,6.046,49
Algeria,5.605,68,6.355,38,5.872,53,5.295,84,5.211,88
Kosovo,5.589,69,5.401,77,5.279,78,5.662,66,6.100,46
Turkmenistan,5.548,70,5.658,65,5.822,59,5.636,68,5.247,87
Mauritius,5.477,71,5.648,66,5.629,64,5.891,55,5.888,57
Hong Kong,5.474,72,5.458,75,,,5.430,76,5.430,76
Estonia,5.429,73,5.517,72,5.611,66,5.739,63,5.893,55
Indonesia,5.399,74,5.314,79,5.262,81,5.093,96,5.192,92
Vietnam,5.360,75,5.061,96,5.074,94,5.103,95,5.175,94
Turkey,5.332,76,5.389,78,5.500,69,5.483,74,5.373,79
Kyrgyzstan,5.286,77,5.185,85,5.004,98,5.131,92,5.261,86
Nigeria,5.268,78,4.875,103,5.074,95,5.155,91,5.265,85
Bhutan,5.253,79,5.196,84,5.011,97,5.082,97,5.082,95
Azerbaijan,5.212,80,5.291,81,5.234,85,5.201,87,5.208,90
Pakistan,5.194,81,5.132,92,5.269,80,5.472,75,5.653,67
Jordan,5.192,82,5.303,80,5.336,74,5.161,90,4.906,101
Montenegro,5.192,82,5.161,88,5.237,83,5.347,81,5.523,73
China,5.140,84,5.245,83,5.273,79,5.246,86,5.191,93
Zambia,5.129,85,4.795,106,4.514,116,4.377,125,4.107,138
Romania,5.124,86,5.528,71,5.825,57,5.945,52,6.070,48
Serbia,5.123,87,5.177,86,5.395,73,5.398,78,5.603,70
Portugal,5.102,88,5.123,94,5.195,89,5.410,77,5.693,66
Latvia,5.098,89,5.560,68,5.850,54,5.933,53,5.940,53
Philippines,5.073,90,5.279,82,5.430,72,5.524,71,5.631,69
Somaliland region,5.057,91,,,,,,,,
Morocco,5.013,92,5.151,90,5.235,84,5.254,85,5.208,89
Macedonia,5.007,93,5.121,95,5.175,92,5.185,89,,
Mozambique,4.971,94,,,4.550,113,4.417,123,4.466,123
Albania,4.959,95,4.655,109,4.644,109,4.586,112,4.719,107
Bosnia and Herzegovina,4.949,96,5.163,87,5.182,90,5.129,93,5.386,78
Lesotho,4.898,97,,,3.808,139,3.808,141,3.802,144
Dominican Republic,4.885,98,5.155,89,5.230,86,5.302,83,5.425,77
Laos,4.876,99,4.876,102,,,4.623,110,4.796,105
Mongolia,4.874,100,4.907,101,4.955,100,5.125,94,5.285,83
Swaziland,4.867,101,,,,,,,4.212,135
Greece,4.857,102,5.033,99,5.227,87,5.358,79,5.287,82
Lebanon,4.839,103,5.129,93,5.225,88,5.358,80,5.197,91
Hungary,4.800,104,5.145,91,5.324,75,5.620,69,5.758,62
Honduras,4.788,105,4.871,104,5.181,91,5.504,72,5.860,59
Tajikistan,4.786,106,4.996,100,5.041,96,5.199,88,5.467,74
Tunisia,4.739,107,5.045,98,4.805,102,4.592,111,4.461,124
Palestinian Territories,4.715,108,4.754,108,4.775,103,4.743,104,4.696,110
Bangladesh,4.694,109,4.643,110,4.608,110,4.500,115,4.456,125
Iran,4.686,110,4.813,105,4.692,108,4.707,106,4.548,117
Ukraine,4.681,111,4.324,123,4.096,132,4.103,138,4.332,133
Iraq,4.677,112,4.575,112,4.497,117,4.456,117,4.437,126
South Africa,4.642,113,4.459,116,4.829,101,4.724,105,4.722,106
Ghana,4.633,114,4.276,124,4.120,131,4.657,108,4.996,98
Zimbabwe,4.610,115,4.193,131,3.875,138,3.692,144,3.663,146
Liberia,4.571,116,3.622,150,3.533,148,3.495,149,3.975,141
India,4.565,117,4.404,118,4.315,122,4.190,133,4.015,140
Sudan,4.550,118,4.139,133,4.139,130,4.139,137,,
Haiti,4.518,119,4.028,136,3.603,145,3.582,148,3.597,147
Congo (Kinshasa),4.517,120,4.272,125,4.280,126,4.245,132,4.418,127
Nepal,4.514,121,4.793,107,4.962,99,4.880,101,4.913,100
Ethiopia,4.512,122,4.508,115,4.460,119,4.350,127,4.286,134
Sierra Leone,4.507,123,4.635,111,4.709,106,4.571,113,4.374,129
Mauritania,4.436,124,4.201,130,4.292,123,4.356,126,4.490,122
Kenya,4.419,125,4.356,122,4.553,112,4.410,124,4.509,121
Djibouti,4.369,126,,,,,,,,
Armenia,4.350,127,4.360,121,4.376,121,4.321,129,4.559,116
Botswana,4.332,128,3.974,137,3.766,142,3.590,146,3.488,148
Myanmar,4.307,129,4.395,119,4.545,114,4.308,130,4.360,131
Georgia,4.297,130,4.252,126,4.286,125,4.340,128,4.519,119
Malawi,4.292,131,4.156,132,3.970,136,3.587,147,3.410,150
Sri Lanka,4.271,132,4.415,117,4.440,120,4.471,116,4.366,130
Cameroon,4.252,133,4.513,114,4.695,107,4.975,99,5.044,96
Bulgaria,4.218,134,4.217,129,4.714,105,4.933,100,5.011,97
Egypt,4.194,135,4.362,120,4.735,104,4.419,122,4.166,137
Yemen,4.077,136,3.724,147,3.593,146,3.355,152,3.380,151
Angola,4.033,137,3.866,141,3.795,140,3.795,142,,
Mali,3.995,138,4.073,135,4.190,127,4.447,118,4.390,128
Congo (Brazzaville),3.989,139,4.236,127,4.291,124,4.559,114,4.812,103
Comoros,3.956,140,3.956,138,,,,,3.973,142
Uganda,3.931,141,3.739,145,4.081,133,4.161,135,4.189,136
Senegal,3.904,142,4.219,128,4.535,115,4.631,109,4.681,111
Gabon,3.896,143,4.121,134,4.465,118,4.758,103,4.799,104
Niger,3.845,144,3.856,142,4.028,135,4.166,134,4.628,114
Cambodia,3.819,145,3.907,140,4.168,129,4.433,120,4.700,109
Tanzania,3.781,146,3.666,149,3.349,153,3.303,153,3.231,153
Madagascar,3.681,147,3.695,148,3.644,144,3.774,143,3.933,143
Central African Republic,3.678,148,,,2.693,155,3.083,155,3.083,155
Chad,3.667,149,3.763,144,3.936,137,4.301,131,4.350,132
Guinea,3.656,150,3.607,151,3.507,149,3.964,140,4.534,118
Ivory Coast,3.655,151,3.916,139,4.180,128,4.671,107,4.944,99
Burkina Faso,3.587,152,3.739,145,4.032,134,4.424,121,4.587,115
Afghanistan,3.575,153,3.360,154,3.794,141,3.632,145,3.203,154
Rwanda,3.465,154,3.515,152,3.471,151,3.408,151,3.334,152
Benin,3.340,155,3.484,153,3.657,143,4.141,136,4.883,102
Syria,3.006,156,3.069,156,3.462,152,3.462,150,3.462,149
Burundi,2.905,157,2.905,157,2.905,154,2.905,156,3.775,145
Togo,2.839,158,3.303,155,3.495,150,3.999,139,4.085,139
Puerto Rico,,,7.039,15,,,,,,
Belize,,,5.956,52,5.956,50,5.956,49,,
Somalia,,,5.440,76,5.151,93,4.982,98,4.668,112
Somaliland Region,,,5.057,97,,,,,,
Namibia,,,4.574,113,4.574,111,4.441,119,4.639,113
South Sudan,,,3.832,143,3.591,147,3.254,154,2.853,156
Taiwan Province of China,,,,,6.422,33,,,,
"Hong Kong S.A.R., China",,,,,5.472,71,,,,
Trinidad & Tobago,,,,,,,6.192,38,6.192,39
Northern Cyprus,,,,,,,5.835,58,5.718,64
North Macedonia,,,,,,,,,5.274,84
Gambia,,,,,,,,,4.516,120
